Timestamp,Build Up,Trend,Time,Vega,Theta,Gamma,Delta,IV Chg%,IV Chg,IV,OI Chg%,OI Chg,OI,Volume Chg %,Volume Chg,Volume,Int Val,Ext Val,OH/OL,LTP Chg %,LTP Chg,LTP,VWAP,Bid,Ask,Strike Price,PE-CE OI,PE-CE OI Chg,Bid,Ask,VWAP,LTP,LTP Chg,LTP Chg %,OH/OL,Int Val,Ext Val,Volume,Volume Chg,Volume Chg %,OI,OI Chg,OI Chg%,IV,IV Chg,IV Chg%,Delta,Gamma,Theta,Vega,PCR-OI,PCR-OI Chg,PCR-Vol,Time,Trend,Build Up
09:16,LB,Bullish,05-Jun-2025 09:15:59,2.0737,-22.0910,0.0023,0.7535,46.66,6.78,21.31,1.14,"31,050","27,48,600",-99.45,"-15,92,69,100","8,73,075",95.43,20.57,-,7.91,8.50,116.00,117.90,116.05,116.45,24550,1850550,205425,21.60,21.70,22.24,21.65,-28.30,-56.66,-,-,21.65,"34,32,525","-20,48,04,900",-98.35,"45,99,150","2,36,475",5.42,21.82,7.08,48.03,-0.2516,0.0022,-22.8766,2.0965,1.67,7.62,3.93,05-Jun-2025 09:15:59,Bullish,SB
09:16,SB,Bearish,05-Jun-2025 09:15:59,2.4800,-25.8390,0.0028,0.6311,40.43,6.00,20.84,0.71,"74,250","1,04,73,225",-99.16,"-38,11,55,925","32,46,600",45.43,34.87,-,-0.37,-0.30,80.30,82.10,79.85,80.00,24600,-466350,306525,34.90,35.05,36.56,34.95,-37.05,-51.46,-,-,34.95,"52,95,075","-33,01,70,325",-98.42,"1,00,06,875","3,80,775",3.96,20.87,6.03,40.63,-0.3691,0.0027,-25.8834,2.4804,0.96,5.13,1.63,05-Jun-2025 09:15:59,Bullish,SB
09:16,SB,Bearish,05-Jun-2025 09:15:59,2.6216,-27.1619,0.0029,0.4877,30.64,4.86,20.72,5.99,"2,79,225","49,40,925",-97.35,"-16,73,60,775","45,58,275",-,52.10,-,-16.71,-10.45,52.10,56.16,52.10,52.35,24650,-2459925,216225,55.05,55.15,61.01,55.00,-49.60,-47.42,-,4.57,50.43,"43,61,100","-9,58,02,450",-95.65,"24,81,000","4,95,450",24.95,20.08,4.09,25.58,-0.5127,0.0030,-26.3259,2.6215,0.50,1.77,0.96,05-Jun-2025 09:15:59,Bullish,SB
09:16,SB,Bearish,05-Jun-2025 09:15:59,2.4690,-29.1756,0.0024,0.3640,39.66,6.71,23.63,6.86,"6,13,350","95,49,000",-96.82,"-19,84,80,675","65,09,550",-,38.55,-,-21.25,-10.40,38.55,40.58,38.50,38.60,24700,-5045775,-176100,93.00,93.25,96.36,93.30,-46.70,-33.36,-,54.57,38.73,"25,53,750","-7,29,52,200",-96.62,"45,03,225","4,37,250",10.75,23.71,6.86,40.71,-0.6355,0.0024,-29.2766,2.4700,0.47,0.71,0.39,05-Jun-2025 09:15:59,Bullish,SB
09:16,SB,Bearish,05-Jun-2025 09:15:59,2.1668,-27.6669,0.0020,0.2683,44.05,7.81,25.54,3.94,"1,59,675","42,09,375",-96.37,"-9,21,42,825","34,69,725",-,27.40,-,-27.03,-10.15,27.40,29.71,27.25,27.40,24750,-2952675,-72975,132.60,133.00,135.74,132.90,-47.30,-26.25,-,104.57,28.33,"7,06,950","-1,60,41,525",-95.78,"12,56,700","86,700",7.41,25.97,7.95,44.12,-0.7283,0.0019,-28.3086,2.1805,0.30,0.54,0.20,05-Jun-2025 09:15:59,Bullish,SB
09:46,SC,Bullish,05-Jun-2025 09:45:59,2.0313,-22.5572,0.0023,0.7453,40.04,6.35,22.21,-12.30,"-5,73,525","40,88,175",-42.62,"-7,32,78,750","9,86,40,300",92.20,21.55,-,81.85,51.20,113.75,70.13,113.70,113.90,24650,9844725,12520875,21.85,21.95,45.06,22.00,-82.60,-78.97,-,-,22.00,"9,11,71,725","-89,91,825",-8.98,"1,39,32,900","1,19,47,350",601.71,22.43,6.44,40.28,-0.2567,0.0023,-22.8784,2.0398,3.41,-20.83,0.92,05-Jun-2025 09:45:59,Bullish,SB
09:46,LB,Bullish,05-Jun-2025 09:45:59,2.4090,-26.4016,0.0027,0.6207,29.55,5.00,21.92,33.88,"30,27,450","1,19,63,100",-29.05,"-5,95,39,500","14,54,50,725",42.20,36.75,-,61.29,30.00,78.95,58.69,78.80,78.95,24700,7214625,12084300,36.60,36.75,61.20,36.75,-103.25,-73.75,-,-,36.75,"9,46,24,725","1,91,18,775",25.32,"1,91,77,725","1,51,11,750",371.66,21.92,5.07,30.09,-0.3793,0.0027,-26.4016,2.4090,1.60,4.99,0.65,05-Jun-2025 09:45:59,Bullish,SB
09:46,LB,Bullish,05-Jun-2025 09:45:59,2.5219,-28.3647,0.0028,0.4793,26.85,4.76,22.49,132.57,"53,68,650","94,18,350",5.15,"49,24,950","10,05,37,500",-,53.00,-,41.15,15.45,53.00,45.55,52.95,53.10,24750,-1358700,1521000,58.75,58.85,83.14,58.90,-121.30,-67.31,-,7.80,51.10,"3,99,38,025","2,31,89,550",138.46,"80,59,650","68,89,650",588.86,21.74,3.72,20.64,-0.5215,0.0029,-27.4118,2.5216,0.86,1.28,0.40,05-Jun-2025 09:45:59,Bullish,SB
09:46,LB,Bullish,05-Jun-2025 09:45:59,2.3360,-26.7822,0.0025,0.3465,23.95,4.43,22.93,52.44,"48,70,275","1,41,57,300",-29.2,"-4,62,06,375","11,20,38,450",-,33.60,-,16.87,4.85,33.60,31.11,33.50,33.60,24800,-7956375,-694650,91.95,92.15,121.26,91.85,-128.20,-58.26,-,57.80,34.05,"2,47,32,750","17,56,350",7.64,"62,00,925","41,75,625",206.17,23.12,4.65,25.18,-0.6523,0.0025,-27.0425,2.3391,0.44,0.86,0.22,05-Jun-2025 09:45:59,Bullish,SB
09:46,LB,Bullish,05-Jun-2025 09:45:59,1.9858,-24.2269,0.0020,0.2441,27.82,5.31,24.40,87.47,"29,17,125","62,52,000",-11.92,"-86,88,975","6,41,84,400",-,22.25,-,3.49,0.75,22.25,21.28,22.10,22.20,24850,-4743225,-2017500,128.15,128.40,159.13,128.00,-137.45,-51.78,-,107.80,20.20,"52,40,700","24,90,600",90.56,"15,08,775","8,99,625",147.69,23.36,3.49,17.56,-0.7656,0.0021,-22.6826,1.9423,0.24,0.31,0.08,05-Jun-2025 09:45:59,Bullish,SB
