Timestamp,Build Up,Trend,Time,Vega,Theta,Gamma,Delta,IV Chg%,IV Chg,IV,OI Chg%,OI Chg,OI,Volume Chg %,Volume Chg,Volume,Int Val,Ext Val,OH/OL,LTP Chg %,LTP Chg,LTP,VWAP,Bid,Ask,Strike Price,PE-CE OI,PE-CE OI Chg,Bid,Ask,VWAP,LTP,LTP Chg,LTP Chg %,OH/OL,Int Val,Ext Val,Volume,Volume Chg,Volume Chg %,OI,OI Chg,OI Chg%,IV,IV Chg,IV Chg%,Delta,Gamma,Theta,Vega,PCR-OI,PCR-OI Chg,PCR-Vol,Time,Trend,Build Up
09:16,-,-,03-Jun-2025 09:15:59,5.6269,-135.7388,0.0002,0.8244,56.05,17.33,48.25,0.00,,"1,56,880",-99.96,"-79,70,660","2,980",967.53,100.02,-,26.89,226.20,"1,067.55",1134.40,1067.25,1085.80,80700,101080,,127.40,128.50,117.56,126.85,-146.95,-53.67,-,-,126.85,"1,79,160","-1,54,67,160",-98.85,"2,57,960",,0.00,52.84,23.24,78.51,-0.1969,0.0002,-159.6456,6.0427,1.64,null,60.12,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,6.3767,-163.6197,0.0003,0.7843,68.70,20.90,51.32,0.00,,"1,73,440",-99.77,"-1,25,55,600","28,480",867.53,138.42,-,30.83,237.05,"1,005.95",1043.25,993.90,1024.15,80800,249660,,144.45,145.50,137.79,145.00,-165.80,-53.35,-,-,145.00,"2,08,680","-2,03,55,440",-98.99,"4,23,100",,0.00,52.34,22.61,76.05,-0.2201,0.0003,-168.8725,6.4524,2.44,null,7.33,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,6.8436,-176.9596,0.0003,0.7553,65.93,20.55,51.72,0.00,,"67,500",-99.91,"-99,50,280","9,260",767.53,164.47,-,29.56,212.65,932.00,989.60,915.30,932.45,80900,181660,,170.25,173.05,160.01,173.05,-183.10,-51.41,-,-,173.05,"1,54,040","-1,18,89,240",-98.72,"2,49,160",,0.00,52.96,22.77,75.42,-0.2497,0.0003,-183.2118,6.9186,3.69,null,16.63,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,7.1982,-182.3692,0.0003,0.7304,64.35,19.84,50.67,0.00,,"4,90,940",-99.72,"-2,57,26,440","72,600",667.53,183.27,-,29.88,195.75,850.80,886.38,845.50,859.60,81000,352180,,197.60,198.60,186.98,197.75,-201.60,-50.48,-,-,197.75,"4,27,800","-2,42,45,100",-98.27,"8,43,120",,0.00,52.67,22.36,73.77,-0.2772,0.0003,-192.1767,7.2976,1.72,null,5.89,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,7.5423,-187.4656,0.0003,0.7028,60.25,18.69,49.71,0.00,,"1,83,940",-99.75,"-1,31,78,420","32,960",567.53,204.97,-,28.17,169.80,772.50,822.43,769.30,780.80,81100,11000,,219.00,221.15,214.05,221.20,-223.05,-50.21,-,-,221.20,"1,52,360","-93,75,580",-98.40,"1,94,940",,0.00,51.85,21.50,70.84,-0.3046,0.0003,-197.7317,7.6270,1.06,null,4.62,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,7.9233,-201.4073,0.0003,0.6664,65.17,20.06,50.84,0.00,,"3,07,340",-99.38,"-1,95,21,780","1,21,500",467.53,245.72,-,30.63,167.25,713.25,751.08,703.45,709.25,81200,31180,,252.45,254.55,245.17,252.45,-231.00,-47.78,-,-,252.45,"2,01,100","-1,18,28,940",-98.33,"3,38,520",,0.00,51.69,21.82,73.05,-0.3360,0.0003,-205.3653,7.9464,1.10,null,1.66,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.1823,-203.0086,0.0003,0.6358,61.73,18.94,49.62,0.00,,"3,24,740",-98.82,"-1,85,73,020","2,21,900",367.53,271.27,-,29.12,144.05,638.80,691.07,635.50,640.55,81300,-14260,,278.00,282.55,280.31,279.75,-256.50,-47.83,-,-,279.75,"1,99,640","-1,03,04,320",-98.10,"3,10,480",,0.00,50.66,20.64,68.75,-0.3667,0.0003,-207.7306,8.2015,0.96,null,0.90,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.4086,-206.4078,0.0004,0.6014,59.43,18.30,49.09,0.00,,"3,24,800",-98.59,"-1,67,31,180","2,39,960",267.53,305.52,-,27.33,123.00,573.05,626.76,569.20,573.20,81400,8720,,317.20,325.25,318.70,325.25,-262.80,-44.69,-,-,325.25,"2,28,040","-62,15,760",-96.46,"3,33,520",,0.00,51.44,21.53,71.98,-0.4028,0.0003,-216.8634,8.4321,1.03,null,0.95,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.5754,-209.8808,0.0004,0.5651,59.92,18.34,48.95,0.00,,"11,30,620",-98.32,"-3,16,03,420","5,40,940",167.53,346.47,-,27.39,110.50,514.00,569.64,511.35,513.90,81500,-264660,,361.25,365.30,352.70,365.35,-284.65,-43.79,-,-,365.35,"4,19,860","-56,70,860",-93.11,"8,65,960",,0.00,51.15,20.92,69.20,-0.4375,0.0004,-219.5438,8.5843,0.77,null,0.78,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.6691,-207.2416,0.0004,0.5284,54.28,16.82,47.81,0.00,,"3,66,640",-97.48,"-1,23,55,160","3,18,840",67.53,382.47,-,21.92,80.90,450.00,517.04,450.05,453.85,81600,-248240,,394.35,399.40,391.76,393.70,-316.25,-44.55,-,-,393.70,"1,67,780","-11,43,720",-87.21,"1,18,400",,0.00,49.11,18.86,62.35,-0.4722,0.0004,-212.8794,8.6701,0.32,null,0.53,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.6884,-206.8871,0.0004,0.4901,55.67,17.03,47.62,0.00,,"3,21,840",-95.94,"-1,11,47,680","4,72,280",-,397.95,-,22.45,72.95,397.95,458.80,397.50,401.05,81700,-242640,,445.70,448.30,424.98,445.65,-317.35,-41.59,-,32.47,413.18,"2,51,960","-3,49,240",-58.09,"79,200",,0.00,49.38,19.72,66.49,-0.5094,0.0004,-214.5090,8.6887,0.25,null,0.53,03-Jun-2025 09:15:59,-,-
09:16,-,-,03-Jun-2025 09:15:59,8.6273,-205.1481,0.0004,0.4517,54.97,16.87,47.56,0.00,,"3,55,620",-96.81,"-1,21,89,300","4,01,820",-,350.80,-,20.16,58.85,350.80,409.47,351.20,352.95,81800,-302920,,485.00,488.90,466.16,488.85,-340.65,-41.07,-,132.47,356.38,"1,61,320","-2,77,040",-63.20,"52,700",,0.00,48.20,18.49,62.23,-0.5476,0.0004,-207.9829,8.6292,0.15,null,0.40,03-Jun-2025 09:15:59,-,-
